YEAR,LOCATION,AGE_GROUP,METRIC,Sum(FINES),Sum(ARRESTS),Sum(CHARGES)
2023,Very Remote Australia,65 and over,non_wearing_seatbelts,1,0,0
2023,Very Remote Australia,65 and over,speed_fines,21,0,0
2023,Very Remote Australia,65 and over,unlicensed_driving,0,0,1
2024,All Regions,0-16,mobile_phone_use,2113,0,2
2024,All Regions,0-16,non_wearing_seatbelts,825,4,19
2024,All Regions,0-16,speed_fines,19400,5,27
2024,All Regions,0-16,unlicensed_driving,651,349,815
2024,All Regions,17-25,mobile_phone_use,14257,1,61
2024,All Regions,17-25,non_wearing_seatbelts,7903,26,364
2024,All Regions,17-25,speed_fines,220712,11,581
2024,All Regions,17-25,unlicensed_driving,9321,824,6166
2024,All Regions,26-39,mobile_phone_use,37780,3,110
2024,All Regions,26-39,non_wearing_seatbelts,19272,30,606
2024,All Regions,26-39,speed_fines,468432,29,890
2024,All Regions,26-39,unlicensed_driving,14986,1931,11248
2024,All Regions,40-64,mobile_phone_use,36275,1,76
2024,All Regions,40-64,non_wearing_seatbelts,18419,25,316
2024,All Regions,40-64,speed_fines,653122,20,850
2024,All Regions,40-64,unlicensed_driving,9432,1004,7811
2024,All Regions,65 and over,mobile_phone_use,4650,0,2
2024,All Regions,65 and over,non_wearing_seatbelts,4377,0,24
2024,All Regions,65 and over,speed_fines,167863,0,79
2024,All Regions,65 and over,unlicensed_driving,710,24,329
2024,All Regions,All Age,mobile_phone_use,147583,0,0
2024,All Regions,All Age,non_wearing_seatbelts,72279,0,0
2024,All Regions,All Age,speed_fines,723571,0,0
2024,All Regions,All Age,unlicensed_driving,162,0,2
2024,Inner Regional Australia,0-16,mobile_phone_use,4,0,2
2024,Inner Regional Australia,0-16,non_wearing_seatbelts,15,0,3
2024,Inner Regional Australia,0-16,speed_fines,76,1,14
2024,Inner Regional Australia,0-16,unlicensed_driving,16,0,126
2024,Inner Regional Australia,17-25,mobile_phone_use,929,0,5
2024,Inner Regional Australia,17-25,non_wearing_seatbelts,1160,0,31
2024,Inner Regional Australia,17-25,speed_fines,28095,3,177
2024,Inner Regional Australia,17-25,unlicensed_driving,447,0,1800
2024,Inner Regional Australia,26-39,mobile_phone_use,2021,0,8
2024,Inner Regional Australia,26-39,non_wearing_seatbelts,2595,0,34
2024,Inner Regional Australia,26-39,speed_fines,55768,4,157
2024,Inner Regional Australia,26-39,unlicensed_driving,983,0,3238
2024,Inner Regional Australia,40-64,mobile_phone_use,2393,0,6
2024,Inner Regional Australia,40-64,non_wearing_seatbelts,2883,0,5
2024,Inner Regional Australia,40-64,speed_fines,75462,6,113
2024,Inner Regional Australia,40-64,unlicensed_driving,681,0,2108
2024,Inner Regional Australia,65 and over,mobile_phone_use,407,0,0
2024,Inner Regional Australia,65 and over,non_wearing_seatbelts,1105,0,1
2024,Inner Regional Australia,65 and over,speed_fines,27223,0,5
2024,Inner Regional Australia,65 and over,unlicensed_driving,110,0,132
2024,Inner Regional Australia,All Age,mobile_phone_use,1372,0,0
2024,Inner Regional Australia,All Age,non_wearing_seatbelts,1351,0,0
2024,Inner Regional Australia,All Age,speed_fines,1821,0,0
2024,Inner Regional Australia,All Age,unlicensed_driving,618,0,0
2024,Major Cities of Australia,0-16,mobile_phone_use,26,0,5
2024,Major Cities of Australia,0-16,non_wearing_seatbelts,38,0,5
2024,Major Cities of Australia,0-16,speed_fines,133,3,20
2024,Major Cities of Australia,0-16,unlicensed_driving,37,15,257
2024,Major Cities of Australia,17-25,mobile_phone_use,11246,0,82
2024,Major Cities of Australia,17-25,non_wearing_seatbelts,3946,0,33
2024,Major Cities of Australia,17-25,speed_fines,93380,23,609
2024,Major Cities of Australia,17-25,unlicensed_driving,2411,42,6088
2024,Major Cities of Australia,26-39,mobile_phone_use,27032,1,59
2024,Major Cities of Australia,26-39,non_wearing_seatbelts,13176,1,56
2024,Major Cities of Australia,26-39,speed_fines,236322,32,418
2024,Major Cities of Australia,26-39,unlicensed_driving,2625,114,8424
2024,Major Cities of Australia,40-64,mobile_phone_use,27620,1,34
2024,Major Cities of Australia,40-64,non_wearing_seatbelts,16552,0,34
2024,Major Cities of Australia,40-64,speed_fines,363985,16,228
2024,Major Cities of Australia,40-64,unlicensed_driving,1307,48,5440
2024,Major Cities of Australia,65 and over,mobile_phone_use,3835,0,5
2024,Major Cities of Australia,65 and over,non_wearing_seatbelts,4443,0,2
2024,Major Cities of Australia,65 and over,speed_fines,106574,0,5
2024,Major Cities of Australia,65 and over,unlicensed_driving,230,0,312
2024,Major Cities of Australia,All Age,mobile_phone_use,10460,0,0
2024,Major Cities of Australia,All Age,non_wearing_seatbelts,10343,0,0
2024,Major Cities of Australia,All Age,speed_fines,17045,0,1
2024,Major Cities of Australia,All Age,unlicensed_driving,4508,0,2
2024,Outer Regional Australia,0-16,mobile_phone_use,1,0,0
2024,Outer Regional Australia,0-16,non_wearing_seatbelts,10,0,1
2024,Outer Regional Australia,0-16,speed_fines,28,0,3
2024,Outer Regional Australia,0-16,unlicensed_driving,10,0,27
2024,Outer Regional Australia,17-25,mobile_phone_use,155,0,4
2024,Outer Regional Australia,17-25,non_wearing_seatbelts,358,0,8
2024,Outer Regional Australia,17-25,speed_fines,8502,2,39
2024,Outer Regional Australia,17-25,unlicensed_driving,120,0,472
2024,Outer Regional Australia,26-39,mobile_phone_use,266,0,0
2024,Outer Regional Australia,26-39,non_wearing_seatbelts,719,0,8
2024,Outer Regional Australia,26-39,speed_fines,16943,3,56
2024,Outer Regional Australia,26-39,unlicensed_driving,308,0,842
2024,Outer Regional Australia,40-64,mobile_phone_use,263,0,2
2024,Outer Regional Australia,40-64,non_wearing_seatbelts,676,0,7
2024,Outer Regional Australia,40-64,speed_fines,22900,5,42
2024,Outer Regional Australia,40-64,unlicensed_driving,193,0,448
2024,Outer Regional Australia,65 and over,mobile_phone_use,36,0,0
2024,Outer Regional Australia,65 and over,non_wearing_seatbelts,270,0,1
2024,Outer Regional Australia,65 and over,speed_fines,7896,0,7
2024,Outer Regional Australia,65 and over,unlicensed_driving,79,0,51
2024,Outer Regional Australia,All Age,mobile_phone_use,116,0,0
2024,Outer Regional Australia,All Age,non_wearing_seatbelts,176,0,0
2024,Outer Regional Australia,All Age,speed_fines,472,0,0
2024,Outer Regional Australia,All Age,unlicensed_driving,829,0,0
2024,Remote Australia,0-16,mobile_phone_use,0,0,0
2024,Remote Australia,0-16,non_wearing_seatbelts,0,0,0
2024,Remote Australia,0-16,speed_fines,5,0,0
2024,Remote Australia,0-16,unlicensed_driving,0,0,6
2024,Remote Australia,17-25,mobile_phone_use,13,0,1
2024,Remote Australia,17-25,non_wearing_seatbelts,47,0,5
2024,Remote Australia,17-25,speed_fines,903,0,4
2024,Remote Australia,17-25,unlicensed_driving,8,0,69
2024,Remote Australia,26-39,mobile_phone_use,20,0,2
2024,Remote Australia,26-39,non_wearing_seatbelts,78,0,3
2024,Remote Australia,26-39,speed_fines,1762,2,4
2024,Remote Australia,26-39,unlicensed_driving,30,0,140
2024,Remote Australia,40-64,mobile_phone_use,21,0,0
2024,Remote Australia,40-64,non_wearing_seatbelts,69,0,1
2024,Remote Australia,40-64,speed_fines,2228,0,6
2024,Remote Australia,40-64,unlicensed_driving,21,0,57
2024,Remote Australia,65 and over,mobile_phone_use,4,0,0
2024,Remote Australia,65 and over,non_wearing_seatbelts,26,0,0
2024,Remote Australia,65 and over,speed_fines,637,0,0
2024,Remote Australia,65 and over,unlicensed_driving,14,0,2
2024,Remote Australia,All Age,mobile_phone_use,0,0,0
2024,Remote Australia,All Age,non_wearing_seatbelts,0,0,0
2024,Remote Australia,All Age,speed_fines,15,0,0
2024,Remote Australia,All Age,unlicensed_driving,170,0,0
2024,Very Remote Australia,0-16,speed_fines,0,0,1
2024,Very Remote Australia,0-16,unlicensed_driving,0,0,3
2024,Very Remote Australia,17-25,mobile_phone_use,6,0,0
2024,Very Remote Australia,17-25,non_wearing_seatbelts,31,0,0
2024,Very Remote Australia,17-25,speed_fines,313,0,2
2024,Very Remote Australia,17-25,unlicensed_driving,2,0,26
2024,Very Remote Australia,26-39,mobile_phone_use,10,0,1
2024,Very Remote Australia,26-39,non_wearing_seatbelts,89,0,2
2024,Very Remote Australia,26-39,speed_fines,701,1,3
2024,Very Remote Australia,26-39,unlicensed_driving,5,0,36
2024,Very Remote Australia,40-64,mobile_phone_use,10,0,0
2024,Very Remote Australia,40-64,non_wearing_seatbelts,68,0,1
2024,Very Remote Australia,40-64,speed_fines,841,1,3
2024,Very Remote Australia,40-64,unlicensed_driving,5,0,22
2024,Very Remote Australia,65 and over,mobile_phone_use,2,0,0
2024,Very Remote Australia,65 and over,non_wearing_seatbelts,16,0,0
2024,Very Remote Australia,65 and over,speed_fines,200,0,0
2024,Very Remote Australia,65 and over,unlicensed_driving,4,0,3
2024,Very Remote Australia,All Age,speed_fines,3,0,0
2024,Very Remote Australia,All Age,unlicensed_driving,117,0,0
